Date, Close/Last, Volume, Open, High, Low
01/16/2020, $29.45, 3802, $29.539, $30.01, $29.4
01/15/2020, $29.45, 80560, $29.8, $29.93, $29.4
01/14/2020, $29.59, 10619, $29.71, $29.75, $29.25
01/13/2020, $29.7, 6704, $29.41, $29.83, $29.23
01/10/2020, $29.51, 6661, $30.09, $30.09, $29.37
01/09/2020, $29.805, 139213, $29.65, $30.04, $29.51
01/08/2020, $30.14, 8563, $30.43, $30.43, $29.5
01/07/2020, $30.55, 24769, $30.59, $30.59, $29.71
01/06/2020, $30.47, 32833, $30.9, $30.9, $30.19
01/03/2020, $30.18, 24213, $30.26, $30.49, $30.01
01/02/2020, $30, 106197, $29.44, $30.24, $29.44
12/31/2019, $29.25, 17805, $28.95, $29.99, $28.75
12/30/2019, $29.4, 10417, $30.01, $30.01, $29.4
12/27/2019, $29.685, 125711, $30, $30, $29.4
12/26/2019, $29.55, 2600, $30, $30, $29.05
12/24/2019, $29.55, 12674, $28.99, $29.75, $28.99
12/23/2019, $29.35, 7977, $29.51, $29.64, $28.78
12/20/2019, $29.2585, 193154, $29.75, $29.75, $29
12/19/2019, $29.93, 135355, $30.22, $30.22, $29.25
12/18/2019, $29.65, 4864, $29.79, $29.79, $29.1
12/17/2019, $29.5, 11790, $29.49, $29.65, $29.3
12/16/2019, $29, 6402, $29.63, $29.63, $28.95
12/13/2019, $29.08, 5404, $28.9, $29.5, $28.9
12/12/2019, $28.96, 72883, $28.7, $29, $28.7
12/11/2019, $28.74, 211, $28.74, $28.74, $28.74
12/10/2019, $28.74, 9652, $28.6, $29, $28.6
12/09/2019, $28.65, 104876, $28.75, $28.8, $28.6
12/06/2019, $28.6066, 1668, $28.8, $28.8, $28.6066
12/05/2019, $28.5, 7700, $28.25, $28.92, $28.25
12/04/2019, $28.675, 2164, $28.43, $28.675, $28.2
12/03/2019, $28.4295, 92494, $28.44, $28.53, $28.07
12/02/2019, $29.04, 7731, $28.55, $29.11, $28.55
11/29/2019, $28.5, 123650, $28.5, $29.15, $28.45
11/27/2019, $28.75, 47524, $29.2, $29.2, $28.75
11/26/2019, $29.2, 10556, $29.3, $29.65, $28.8
11/25/2019, $29.66, 15555, $29.9, $29.9, $29.15
11/22/2019, $29.55, 3686, $29.3, $30.04, $29.25
11/21/2019, $29.09, 101269, $29.745, $29.745, $29.09
11/20/2019, $29.1944, 107731, $29.13, $29.8925, $29.13
11/19/2019, $30.03, 143594, $29.6, $30.03, $29.6
11/18/2019, $30.15, 3027, $30.15, $30.15, $29.8575
11/15/2019, $29.946, 1417, $30.07, $30.07, $29.946
11/14/2019, $29.97, 224533, $29.775, $29.97, $29.4
11/13/2019, $30.3175, 75941, $29.9475, $30.3175, $29.8
11/12/2019, $30.3, 2642, $30, $30.3, $30
11/11/2019, $30, 62695, $30.32, $30.57, $29.84
11/08/2019, $30.55, 204077, $30.51, $30.55, $30.0912
11/07/2019, $30.4275, 152579, $30, $30.5, $29.84
11/06/2019, $30.42, 166447, $30.2, $30.64, $29.9
11/05/2019, $29.93, 11510, $30.17, $30.19, $29.9
11/04/2019, $30.19, 7222, $30.29, $30.29, $29.6
11/01/2019, $29.4309, 122884, $28.95, $29.8, $28.95
10/31/2019, $29.37, 3646, $29.5, $29.55, $28.75
10/30/2019, $30.45, 1994, $29.6501, $30.45, $29.6501
10/29/2019, $29.85, 2703, $29.85, $29.85, $29.8275
10/28/2019, $29.836, 3460, $30.49, $30.51, $29.8
10/25/2019, $29.6, 4264, $30.09, $30.09, $29.55
10/24/2019, $29.75, 4708, $30, $30, $29.75
10/23/2019, $29.95, 3842, $29.85, $30, $29.85
10/22/2019, $29.75, 1320, $29.05, $29.75, $29.05
10/21/2019, $29.6, 1653, $28.94, $29.71, $28.9
10/18/2019, $28.75, 3158, $28.75, $29.2, $28.69
10/17/2019, $29.44, 226, $29.44, $29.44, $29.44
10/16/2019, $29.26, 47183, $28.55, $29.35, $28.55
10/15/2019, $28.7, 63165, $28.6, $29.09, $28.6
10/14/2019, $28.84, 1261, $28.99, $29.04, $28.75
10/11/2019, $29.29, 1270, $28.7, $29.29, $28.7
10/10/2019, $28.44, 1183, $28.75, $28.75, $28.44
10/09/2019, $28.75, 160976, $28.4537, $28.75, $28.4537
10/08/2019, $28.15, 69131, $28.612, $28.612, $28.15
10/07/2019, $29.17, 1693, $29.15, $29.17, $28.922
10/04/2019, $28.94, 597, $28.25, $28.94, $28.25
10/03/2019, $28, 113838, $28, $28.25, $28
10/02/2019, $28.652, 113824, $28.528, $28.76, $28.35
10/01/2019, $29, 60701, $29.15, $29.1875, $29
09/30/2019, $28.84, 51714, $29.05, $29.5, $28.79
09/27/2019, $29.71, 280651, $29.71, $29.71, $29.71
09/26/2019, $29.52, 277130, $29.125, $29.69, $29.0288
09/25/2019, $28.74, 39653, $28.8763, $28.8763, $28.74
09/24/2019, $29.38, 162698, $28.8, $29.42, $28.8
09/23/2019, $29.74, 5906, $28.9501, $29.74, $28.9501
09/20/2019, $29.75, 135, $29.75, $29.75, $29.75
09/19/2019, $29.3275, 24601, $29.38, $29.75, $29.05
09/18/2019, $29.1213, 306405, $29.49, $29.49, $28.8
09/17/2019, $28.5, 4485, $29.42, $29.42, $28.5
09/16/2019, $28.96, 136640, $29.1, $29.5, $28.8
09/13/2019, $28.25, 72120, $28.5605, $28.5605, $28.25
09/12/2019, $28.326, 53897, $27.9, $28.86, $27.9
09/11/2019, $28.515, 2400, $28.25, $28.83, $28.25
09/10/2019, $28.55, 7919, $28.55, $28.5525, $28.3
09/09/2019, $28.0775, 500440, $27.8, $28.0775, $27.8
09/06/2019, $27.774, 122410, $27.49, $27.838, $27.45
09/05/2019, $28.46, 403353, $28.125, $28.46, $27.95
09/04/2019, $27.74, 160773, $27.65, $28.0285, $27.65
09/03/2019, $28.23, 9478, $27.45, $28.23, $27.45
08/30/2019, $27.5, 5783, $27.45, $28.25, $27.45
08/29/2019, $28.255, 1968, $27.8, $28.255, $27.75
08/28/2019, $27.65, 153494, $27.79, $28.17, $27.65
08/27/2019, $27.5, 1573, $27.5, $27.735, $27.5
08/26/2019, $28.18, 313125, $27.7, $28.25, $27.5
08/23/2019, $27.8225, 1473, $27.4, $28.25, $27.35
08/22/2019, $27.95, 11234, $27.93, $28.1, $27.75
08/21/2019, $28.16, 562088, $27.95, $28.24, $27.95
08/20/2019, $27.55, 15039, $27.75, $28, $27.5
08/19/2019, $28.21, 16878, $27.95, $28.61, $27.95
08/16/2019, $28.335, 61001, $28.12, $28.335, $28.12
08/15/2019, $27.7, 75226, $27.25, $27.7, $27.25
08/14/2019, $28.05, 3276, $27.95, $28.61, $27.95
08/13/2019, $28.8379, 39662, $28.92, $28.92, $28.8379
08/12/2019, $28.84, 445, $28.79, $28.84, $28.79
08/09/2019, $28.4, 191819, $28.44, $28.44, $28.4
08/08/2019, $28.9037, 104060, $28.5, $29.05, $28.5
08/07/2019, $28.19, 2467, $28.48, $28.53, $28.19
08/06/2019, $29.2, 352363, $28.903, $29.2, $28.25
08/05/2019, $28, 303921, $28.788, $29.23, $28
08/02/2019, $29.1, 6257, $29.5, $29.59, $29
08/01/2019, $29.5, 9564, $30.55, $30.55, $29.5
07/31/2019, $31.5, 1701, $31.6125, $31.6125, $31.5
07/30/2019, $31.95, 87225, $32.59, $32.59, $31.95
07/29/2019, $31.7, 172878, $31.7, $31.86, $31.7
07/26/2019, $31.8025, 187133, $32.48, $32.49, $31.35
07/25/2019, $31.55, 1264, $31.55, $31.55, $31.55
07/24/2019, $31.55, 463613, $32.1, $32.1, $31.55
07/23/2019, $32.075, 985, $32.15, $32.45, $32.075
07/22/2019, $32, 248092, $32.036, $32.27, $31.75
07/19/2019, $31.75, 201713, $31.54, $31.75, $31.54
07/18/2019, $31.9, 48021, $31.35, $31.9, $31.35
07/17/2019, $31.6, 539, $31.65, $31.65, $31.6
07/16/2019, $32, 70353, $32.2, $32.2, $31.9225
07/15/2019, $32.3, 12640, $32.3, $32.3, $32.3
07/12/2019, $32.48, 1089, $32.62, $32.62, $32.48
07/11/2019, $32.625, 82850, $32.8, $32.8, $32.625
07/10/2019, $32.93, 1435, $32.3, $32.93, $32.3
07/09/2019, $32.2, 7439, $32.1, $32.56, $32.1
07/08/2019, $32.1, 775, $32.2, $32.2, $32.1
07/05/2019, $32.25, 1018, $32.25, $32.27, $32.25
07/03/2019, $32.68, 95600, $32.4425, $32.87, $32.4425
07/02/2019, $32.5, 2081, $32.95, $33, $32.5
07/01/2019, $33, 12003, $33.105, $33.26, $33
06/28/2019, $32.6, 3152, $32.8, $32.8, $32.4
06/27/2019, $32.84, 1233, $32.8, $33.21, $32.8
06/26/2019, $32.95, 17582, $32.9, $33.5, $32.9
06/25/2019, $32.846, 3316, $32.75, $32.915, $32.75
06/24/2019, $32.8, 2027, $33.035, $33.5, $32.66
06/21/2019, $33, 5278, $32.9, $33, $32.9
06/20/2019, $32.55, 6417, $32.55, $32.9, $32.55
06/19/2019, $32.1, 850, $31.85, $32.1, $31.85
06/18/2019, $32.108, 83902, $31.97, $32.108, $31.65
06/17/2019, $31.95, 1120, $31.88, $32.01, $31.69
06/14/2019, $31.45, 253, $31.45, $31.45, $31.45
06/13/2019, $32.1, 3539, $32.4, $32.4, $31.7
06/12/2019, $31.925, 3139, $32.4, $32.4, $31.53
06/11/2019, $32.4, 2545, $32.25, $32.5, $32.25
06/10/2019, $32.12, 2545, $32, $32.26, $32
06/07/2019, $32.5, 101936, $31.8, $32.6, $31.8
06/06/2019, $31.49, 60770, $31.66, $32.06, $31.49
06/05/2019, $31.1, 83339, $31.35, $31.83, $31.05
06/04/2019, $30.825, 184029, $31.3, $31.3, $30.6
06/03/2019, $31, 3791, $31, $31, $31
05/31/2019, $31.26, 178378, $30.97, $31.27, $30.97
05/30/2019, $31.39, 337, $31.65, $31.65, $31.39
05/29/2019, $31.35, N/A, $31.35, $31.35, $31.35
05/28/2019, $31.35, 779, $31.4, $31.83, $31.35
05/24/2019, $31.75, 160730, $31.77, $31.77, $31.2
05/23/2019, $31.59, 1256, $31.55, $31.72, $31.55
05/22/2019, $32.46, 1279, $32.04, $32.46, $32.04
05/21/2019, $32.79, 3621, $32.15, $32.79, $32.1
05/20/2019, $32.25, 3700, $32.05, $32.5, $32
05/17/2019, $32.1, 4051, $32.5, $32.67, $31.9
05/16/2019, $32.6, 3222, $32.185, $32.65, $31.85
05/15/2019, $32.9, 210, $31.85, $32.9, $31.85
05/14/2019, $32.68, 3323, $32.2, $32.72, $31.8
05/13/2019, $32.2, 2054, $32.09, $32.2, $31.8
05/10/2019, $32.45, 848, $31.24, $32.45, $31.24
05/09/2019, $32.05, 1666, $31.77, $32.05, $31.05
05/08/2019, $31.25, 65573, $31.4, $31.4, $31.2
05/07/2019, $31.42, 182994, $31.29, $31.51, $30.95
05/06/2019, $32.05, 201444, $32.06, $32.1238, $31.8687
05/03/2019, $32.15, 299734, $32.175, $32.25, $32.15
05/02/2019, $32.24, 5726, $31.95, $32.5, $31.7
05/01/2019, $31.605, 2637, $31.75, $31.75, $31.26
04/30/2019, $31.95, 123875, $31.75, $31.95, $31.69
04/29/2019, $31.752, 82262, $31.25, $31.94, $31.25
04/26/2019, $31.45, 62174, $31.81, $31.85, $31.34
04/25/2019, $32.31, 2472, $31.75, $32.31, $31.75
04/24/2019, $32.01, 1143, $31.9, $32.15, $31.75
04/23/2019, $32.4, 2455, $32.35, $32.49, $32.35
04/22/2019, $32.29, 858, $31.85, $32.29, $31.85
04/18/2019, $31.6, 4364, $32.143, $32.48, $31.6
04/17/2019, $32.26, 2303, $32.35, $32.76, $32.1
04/16/2019, $32, 7776, $32.69, $32.69, $32
04/15/2019, $32.1, 2310, $32.695, $32.695, $32.09
04/12/2019, $32.5, 1739, $32.9, $32.9, $32.35
04/11/2019, $32.5, 3632, $32.6, $32.9, $32.3
04/10/2019, $32.85, 930, $32.37, $32.99, $32.37
04/09/2019, $31.72, 5700, $32.212, $32.78, $31.72
04/08/2019, $32.71, 16566, $32.35, $32.995, $32.35
04/05/2019, $32.5, 9288, $32.14, $32.61, $31.95
04/04/2019, $32, 950, $31.85, $32, $31.6782
