Date, Close/Last, Volume, Open, High, Low
10/22/2019, $21.03, 11307730, $22.52, $22.58, $20.91
10/21/2019, $22.58, 8555712, $21.93, $22.74, $21.87
10/18/2019, $21.81, 20234750, $23.5, $23.6, $21.44
10/17/2019, $24, 6638367, $23.17, $24, $22.93
10/16/2019, $23.64, 14606710, $23.09, $23.8, $22.69
10/15/2019, $24.74, 6009322, $24.59, $24.98, $24.26
10/14/2019, $24.62, 8251574, $25.23, $25.54, $24.52
10/11/2019, $25.99, 15142030, $24.5, $26.36, $24.35
10/10/2019, $23.82, 11664050, $24.3, $24.84, $23.27
10/09/2019, $24.57, 9873825, $25.51, $25.59, $24.41
10/08/2019, $25.7, 8046034, $25.83, $26.3965, $25.07
10/07/2019, $26.05, 7770881, $24.62, $26.28, $24.57
10/04/2019, $24.97, 6679383, $25.1, $25.21, $24.23
10/03/2019, $24.93, 16885910, $23.34, $25.42, $22.53
10/02/2019, $23.43, 6661314, $22.27, $23.49, $22.12
10/01/2019, $22.87, 8560162, $24.07, $24.07, $22.61
09/30/2019, $23.73, 12221010, $22.75, $24.405, $22.26
09/27/2019, $22.06, 6358342, $22.51, $22.755, $21.25
09/26/2019, $22.63, 5578801, $22.41, $22.94, $21.96
09/25/2019, $22.73, 13062400, $23, $23.24, $21.43
09/24/2019, $23.2, 10613740, $23.9, $24.41, $23.02
09/23/2019, $24.16, 13389790, $25.21, $25.245, $23.7
09/20/2019, $25.37, 9451624, $25.85, $26.1, $25.05
09/19/2019, $25.72, 6480172, $25.82, $25.96, $24.99
09/18/2019, $25.71, 5513352, $26.26, $26.75, $24.94
09/17/2019, $26.22, 8067807, $26, $27.41, $25.7755
09/16/2019, $26.1, 8264550, $24.25, $26.21, $24.2
09/13/2019, $24.49, 6592316, $25.62, $25.6956, $24.36
09/12/2019, $25.62, 5540857, $25.55, $25.9, $25
09/11/2019, $25.25, 7759247, $26.26, $26.26, $25.15
09/10/2019, $26.75, 15140220, $24.81, $26.86, $24.5
09/09/2019, $24.92, 29281830, $27.58, $27.6, $23.93
09/06/2019, $27.38, 15019190, $29.75, $29.98, $27.3
09/05/2019, $30.01, 43992920, $26.47, $31.21, $26
09/04/2019, $31.07, 14973090, $29.24, $31.28, $28.94
09/03/2019, $28.76, 6061256, $28.39, $29.22, $27.91
08/30/2019, $28.64, 4674989, $29.94, $30.21, $28.25
08/29/2019, $29.98, 3373628, $30, $30.19, $29.36
08/28/2019, $29.8, 5236290, $29.59, $29.8, $28.5
08/27/2019, $29.91, 3279915, $31.21, $31.27, $29.66
08/26/2019, $30.97, 3692400, $30.34, $31.14, $30.22
08/23/2019, $30.05, 3989862, $30.52, $30.64, $29.97
08/22/2019, $30.55, 4962386, $32.19, $32.48, $30.1938
08/21/2019, $30.8, 2075764, $30.64, $31.39, $30.44
08/20/2019, $30.5, 2228530, $31.09, $31.1, $30.31
08/19/2019, $31.14, 2874617, $30.57, $31.5, $30.3
08/16/2019, $30, 2615030, $30.32, $30.355, $29.91
08/15/2019, $30.16, 2434846, $30.08, $30.75, $30.01
08/14/2019, $30.76, 3234360, $30.52, $30.8131, $29.92
08/13/2019, $31.25, 2151679, $30.83, $31.79, $30.75
08/12/2019, $31.17, 2813812, $30.46, $32.13, $30.235
08/09/2019, $30.78, 1713135, $31.23, $31.45, $30.64
08/08/2019, $31.53, 1728016, $30.92, $31.67, $30.625
08/07/2019, $30.77, 2301209, $30.19, $31.08, $30.05
08/06/2019, $30.84, 3940339, $31.48, $32.23, $30.73
08/05/2019, $31.39, 5923135, $29.38, $31.43, $29.1
08/02/2019, $30.87, 5259904, $31.8, $31.85, $30.77
08/01/2019, $32, 5374384, $33.3, $33.33, $31.93
07/31/2019, $33.42, 3539575, $32.82, $34, $32.8
07/30/2019, $32.58, 2808373, $32.59, $32.8, $32.135
07/29/2019, $33.01, 5056375, $34.1, $34.13, $32.5
07/26/2019, $34.09, 4356685, $33.72, $34.21, $33.33
07/25/2019, $33.72, 3482975, $34.17, $34.3, $33.53
07/24/2019, $34.1, 3780718, $34.02, $34.16, $33.21
07/23/2019, $33.94, 7629350, $33.6, $34.94, $33.45
07/22/2019, $33.25, 3857517, $31.23, $33.35, $31.18
07/19/2019, $31.3, 5727684, $32.05, $32.95, $31.22
07/18/2019, $32, 6851603, $33.4, $33.54, $31.93
07/17/2019, $33.46, 4468774, $34.78, $35, $33.4
07/16/2019, $34.4, 5821533, $34.57, $35.15, $34.2
07/15/2019, $34.75, 8528403, $34, $35.21, $33.94
07/12/2019, $33.73, 14968040, $34.67, $34.99, $33.37
